층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대_밑_좌우시야각,무대_위_좌우시야각,무대가_보이는_면적
1층,D블록,9,7,1층 D블록9열 7,-854,1445,50,1층 B블록9열 5,23.42235400694869,56.80754589187081,2276.5236253153844
1층,D블록,9,8,1층 D블록9열 8,-908,1438,50,1층 B블록9열 4,23.133806920451757,55.30492832302675,2232.7806459987314
1층,D블록,9,9,1층 D블록9열 9,-961,1428,50,1층 B블록9열 3,22.856815847866212,53.82632102663668,2190.6928916285024
1층,D블록,9,10,1층 D블록9열 10,-1014,1420,50,1층 B블록9열 2,22.55105722710681,52.25830915661773,2149.2095454952237
1층,D블록,9,11,1층 D블록9열 11,-1068,1411,50,1층 B블록9열 1,22.231000437474307,50.6296747566865,2108.488383035291
1층,E블록,9,1,1층 E블록9열 1,-1227,1380,50,1층 A블록9열 11,21.239665042319842,45.70596146016089,2001.6164613858186
1층,E블록,9,2,1층 E블록9열 2,-1277,1369,50,1층 A블록9열 10,20.91347493793149,44.136384999457036,1972.9302014506702
1층,E블록,9,3,1층 E블록9열 3,-1327,1359,50,1층 A블록9열 9,20.57398040250078,42.559398362587835,1946.803302623428
1층,E블록,9,4,1층 E블록9열 4,-1377,1347,50,1층 A블록9열 8,20.235547890751395,40.99572150149176,1923.2242698205534
1층,E블록,9,5,1층 E블록9열 5,-1426,1335,50,1층 A블록9열 7,19.897522650584484,39.47265111486905,1902.474454224249
1층,E블록,9,6,1층 E블록9열 6,-1476,1323,50,1층 A블록9열 6,19.545147873674768,37.93415301765072,1883.5352810798788
1층,E블록,9,7,1층 E블록9열 7,-1525,1311,50,1층 A블록9열 5,19.19521196348898,36.44826579020329,1866.946663204777
1층,E블록,9,8,1층 E블록9열 8,-1574,1297,50,1층 A블록9열 4,18.846448871405507,34.98402171674658,1852.0591942032563
1층,E블록,9,9,1층 E블록9열 9,-1624,1283,50,1층 A블록9열 3,18.48481943158117,33.51919070856693,1838.3788967556109
1층,E블록,9,10,1층 E블록9열 10,-1673,1269,50,1층 A블록9열 2,18.127214970537455,32.115295117785834,1826.2059495502583
1층,E블록,9,11,1층 E블록9열 11,-1722,1256,50,1층 A블록9열 1,17.764566106035687,30.752920785988916,1815.0436865004078
1층,A블록,10,1,1층 A블록10열 1,1747,1347,69,1층 E블록10열 11,17.401791475370402,30.5292030172204,1798.0397970147258
1층,A블록,10,2,1층 A블록10열 2,1698,1361,69,1층 E블록10열 10,17.737346473089097,31.80512180062116,1808.0122490291328
1층,A블록,10,3,1층 A블록10열 3,1649,1375,69,1층 E블록10열 9,18.06962940700793,33.109777395299744,1818.9388094915685
1층,A블록,10,4,1층 A블록10열 4,1600,1388,69,1층 E블록10열 8,18.40069530755088,34.43773028032086,1831.004989942808
1층,A블록,10,5,1층 A블록10열 5,1548,1403,69,1층 E블록10열 7,18.74356031034999,35.87290791233666,1845.3802178674837
1층,A블록,10,6,1층 A블록10열 6,1498,1415,69,1층 E블록10열 6,19.07541307495706,37.2709179173482,1860.8788839429974
1층,A블록,10,7,1층 A블록10열 7,1449,1427,69,1층 E블록10열 5,19.394441072412246,38.656841223157635,1877.9736284865544
1층,A블록,10,8,1층 A블록10열 8,1399,1439,69,1층 E블록10열 4,19.7145596148744,40.08224879677983,1897.559333153749
1층,A블록,10,9,1층 A블록10열 9,1349,1451,69,1층 E블록10열 3,20.027483229437884,41.51268048312769,1919.4805023963097
1층,A블록,10,10,1층 A블록10열 10,1296,1463,69,1층 E블록10열 2,20.353673159322685,43.031493427433276,1945.3507287113225
1층,A블록,10,11,1층 A블록10열 11,1246,1473,69,1층 E블록10열 1,20.659048436824346,44.467555258514686,1972.2404646784742
1층,B블록,10,1,1층 B블록10열 1,1090,1503,69,1층 D블록10열 11,21.55885108528325,48.86593628625434,2070.3206683107283
1층,B블록,10,2,1층 B블록10열 2,1034,1513,69,1층 D블록10열 10,21.86135454181786,50.39241962579751,2109.6718631832177
1층,B블록,10,3,1층 B블록10열 3,979,1522,69,1층 D블록10열 9,22.14940869271792,51.85908384192019,2149.7218580439726
1층,B블록,10,4,1층 B블록10열 4,924,1531,69,1층 D블록10열 8,22.422632288892267,53.273455429299055,2190.5833525032617
1층,B블록,10,5,1층 B블록10열 5,869,1539,69,1층 D블록10열 7,22.686994782449027,54.6462239736202,2231.8408057696242
1층,B블록,10,6,1층 B블록10열 6,813,1547,69,1층 D블록10열 6,22.94040741599948,55.97838425775591,2273.635916719763
1층,B블록,10,7,1층 B블록10열 7,758,1555,69,1층 D블록10열 5,23.17075670256349,57.20808737964323,2313.8963272640012
1층,B블록,10,8,1층 B블록10열 8,702,1564,69,1층 D블록10열 4,23.379786291855925,58.35406206909253,2353.36896838454
1층,B블록,10,9,1층 B블록10열 9,646,1569,69,1층 D블록10열 3,23.600814848025713,59.509277723058744,2392.2012021965556
1층,B블록,10,10,1층 B블록10열 10,591,1573,69,1층 D블록10열 2,23.80670464887414,60.58088336615307,2428.7290920949945
1층,B블록,10,11,1층 B블록10열 11,535,1578,69,1층 D블록10열 1,23.98885070073736,61.551770890134065,2463.2763816243896
1층,C블록,10,1,1층 C블록10열 1,360,1591,69,1층 C블록10열 13,24.44351784467241,63.990117280018396,2553.302825007137
1층,C블록,10,2,1층 C블록10열 2,300,1594,69,1층 C블록10열 12,24.562726988708253,64.62502432560406,2577.2040949498546
1층,C블록,10,3,1층 C블록10열 3,240,1598,69,1층 C블록10열 11,24.64642504053938,65.09588905362713,2596.238806991279
1층,C블록,10,4,1층 C블록10열 4,180,1600,69,1층 C블록10열 10,24.722064129561446,65.50004162774846,2611.8026032509165
1층,C블록,10,5,1층 C블록10열 5,120,1601,69,1층 C블록10열 9,24.780322548549716,65.80422706430736,2623.2649109902995
1층,C블록,10,6,1층 C블록10열 6,60,1602,69,1층 C블록10열 8,24.811573884945744,65.97346587990381,2629.9571709929005
1층,C블록,10,7,1층 C블록10열 7,0,1603,69,1층 C블록10열 7,24.815658264581455,66.00694552458006,2631.806918311919
1층,C블록,10,8,1층 C블록10열 8,-60,1602,69,1층 C블록10열 6,24.811573884945744,65.97346587990381,2629.9571709929005
1층,C블록,10,9,1층 C블록10열 9,-120,1601,69,1층 C블록10열 5,24.780322548549716,65.80422706430736,2623.2649109902995
1층,C블록,10,10,1층 C블록10열 10,-180,1600,69,1층 C블록10열 4,24.722064129561446,65.50004162774846,2611.802603250917
1층,C블록,10,11,1층 C블록10열 11,-240,1598,69,1층 C블록10열 3,24.64642504053938,65.09588905362713,2596.238806991279
1층,C블록,10,12,1층 C블록10열 12,-300,1594,69,1층 C블록10열 2,24.562726988708253,64.62502432560406,2577.204094949854
1층,C블록,10,13,1층 C블록10열 13,-360,1591,69,1층 C블록10열 1,24.44351784467241,63.990117280018396,2553.302825007137
1층,D블록,10,1,1층 D블록10열 1,-535,1578,69,1층 B블록10열 11,23.98885070073736,61.551770890134065,2463.27638162439
1층,D블록,10,2,1층 D블록10열 2,-591,1573,69,1층 B블록10열 10,23.80670464887414,60.58088336615307,2428.7290920949945
1층,D블록,10,3,1층 D블록10열 3,-646,1569,69,1층 B블록10열 9,23.600814848025713,59.509277723058744,2392.201202196555
1층,D블록,10,4,1층 D블록10열 4,-702,1564,69,1층 B블록10열 8,23.379786291855925,58.35406206909253,2353.36896838454
1층,D블록,10,5,1층 D블록10열 5,-758,1555,69,1층 B블록10열 7,23.17075670256349,57.20808737964323,2313.8963272640012
1층,D블록,10,6,1층 D블록10열 6,-813,1547,69,1층 B블록10열 6,22.94040741599948,55.97838425775591,2273.635916719763
1층,D블록,10,7,1층 D블록10열 7,-869,1539,69,1층 B블록10열 5,22.686994782449027,54.6462239736202,2231.8408057696242
1층,D블록,10,8,1층 D블록10열 8,-924,1531,69,1층 B블록10열 4,22.422632288892267,53.273455429299055,2190.5833525032617
1층,D블록,10,9,1층 D블록10열 9,-979,1522,69,1층 B블록10열 3,22.14940869271792,51.85908384192019,2149.7218580439726
1층,D블록,10,10,1층 D블록10열 10,-1034,1513,69,1층 B블록10열 2,21.86135454181786,50.39241962579751,2109.6718631832177
1층,D블록,10,11,1층 D블록10열 11,-1090,1503,69,1층 B블록10열 1,21.55885108528325,48.86593628625434,2070.3206683107283
1층,E블록,10,1,1층 E블록10열 1,-1246,1473,69,1층 A블록10열 11,20.659048436824346,44.467555258514686,1972.2404646784742
1층,E블록,10,2,1층 E블록10열 2,-1296,1463,69,1층 A블록10열 10,20.353673159322685,43.031493427433276,1945.3507287113225
1층,E블록,10,3,1층 E블록10열 3,-1349,1451,69,1층 A블록10열 9,20.027483229437884,41.51268048312769,1919.4805023963097
1층,E블록,10,4,1층 E블록10열 4,-1399,1439,69,1층 A블록10열 8,19.7145596148744,40.08224879677983,1897.5593331537489
1층,E블록,10,5,1층 E블록10열 5,-1449,1427,69,1층 A블록10열 7,19.394441072412246,38.656841223157635,1877.9736284865542
1층,E블록,10,6,1층 E블록10열 6,-1498,1415,69,1층 A블록10열 6,19.07541307495706,37.2709179173482,1860.8788839429974
1층,E블록,10,7,1층 E블록10열 7,-1548,1403,69,1층 A블록10열 5,18.74356031034999,35.87290791233666,1845.3802178674837
1층,E블록,10,8,1층 E블록10열 8,-1600,1388,69,1층 A블록10열 4,18.40069530755088,34.43773028032086,1831.0049899428082
1층,E블록,10,9,1층 E블록10열 9,-1649,1375,69,1층 A블록10열 3,18.06962940700793,33.109777395299744,1818.9388094915687
1층,E블록,10,10,1층 E블록10열 10,-1698,1361,69,1층 A블록10열 2,17.737346473089097,31.80512180062116,1808.0122490291328
1층,E블록,10,11,1층 E블록10열 11,-1747,1347,69,1층 A블록10열 1,17.401791475370402,30.5292030172204,1798.0397970147258
1층,A블록,11,1,1층 A블록11열 1,1773,1439,89,1층 E블록11열 11,17.03793603031314,30.253434772548875,1783.417730380528
1층,A블록,11,2,1층 A블록11열 2,1724,1452,89,1층 E블록11열 10,17.352756849227877,31.438350833305083,1792.2759361447982
1층,A블록,11,3,1층 A블록11열 3,1675,1466,89,1층 E블록11열 9,17.66217200584249,32.649800207340526,1802.0848478422681
1층,A블록,11,4,1층 A블록11열 4,1626,1480,89,1층 E블록11열 8,17.967525017961304,33.88074129286798,1813.0058452712992
1층,A블록,11,5,1층 A블록11열 5,1570,1495,89,1층 E블록11열 7,18.313711653499237,35.30666215367331,1827.0870987362098
1층,A블록,11,6,1층 A블록11열 6,1521,1507,89,1층 E블록11열 6,18.61493912461874,36.56966414110316,1841.049948841179
1층,A블록,11,7,1층 A블록11열 7,1471,1519,89,1층 E블록11열 5,18.917775724086738,37.87025375669266,1857.1568557874523
1층,A블록,11,8,1층 A블록11열 8,1421,1531,89,1층 E블록11열 4,19.214499824471737,39.177831196828144,1875.360592811591
1층,A블록,11,9,1층 A블록11열 9,1368,1544,89,1층 E블록11열 3,19.520320523640248,40.56412044035493,1897.1343493619959
1층,A블록,11,10,1층 A블록11열 10,1315,1556,89,1층 E블록11열 2,19.82178712353142,41.95114369121787,1921.4863543193699
1층,A블록,11,11,1층 A블록11열 11,1265,1566,89,1층 E블록11열 1,20.104054461225026,43.261065262665966,1946.801026660012
1층,B블록,11,1,1층 B블록11열 1,1113,1596,89,1층 D블록11열 12,20.91064221731483,47.153454670668054,2036.519995990754
1층,B블록,11,2,1층 B블록11열 2,1060,1605,89,1층 D블록11열 11,21.178712908260934,48.475148900853654,2071.322408414375
1층,B블록,11,3,1층 B블록11열 3,1008,1613,89,1층 D블록11열 10,21.4352633504723,49.74938139525233,2106.647474131498
1층,B블록,11,4,1층 B블록11열 4,956,1622,89,1층 D블록11열 9,21.67368906013994,50.967416794345866,2142.6448046032388
1층,B블록,11,5,1층 B블록11열 5,904,1630,89,1층 D블록11열 8,21.905598132828285,52.1547587025838,2178.9826102919346
1층,B블록,11,6,1층 B블록11열 6,852,1637,89,1층 D블록11열 7,22.130960007133247,53.309378371902426,2215.3230472304267
1층,B블록,11,7,1층 B블록11열 7,800,1645,89,1층 D블록11열 6,22.33563688656762,54.38709172542593,2251.038794658116
1층,B블록,11,8,1층 B블록11열 8,747,1652,89,1층 D블록11열 5,22.537405379060736,55.445324977731865,2286.724059856127
1층,B블록,11,9,1층 B블록11열 9,695,1660,89,1층 D블록11열 4,22.711787768560697,56.389485034175436,2320.274072436205
1층,B블록,11,10,1층 B블록11열 10,642,1664,89,1층 D블록11열 3,22.904874316651746,57.378943223981594,2353.905430293865
1층,B블록,11,11,1층 B블록11열 11,590,1669,89,1층 D블록11열 2,23.07063160708922,58.25173928401732,2384.9416428418594
1층,B블록,11,12,1층 B블록11열 12,537,1674,89,1층 D블록11열 1,23.223782490927448,59.065587933537984,2414.569950751571
1층,C블록,11,1,1층 C블록11열 1,386,1685,89,1층 C블록11열 14,23.59134229856083,61.014999994471964,2486.861098992112
1층,C블록,11,2,1층 C블록11열 2,327,1688,89,1층 C블록11열 13,23.70641665831989,61.621859318627415,2509.6276220757863
1층,C블록,11,3,1층 C블록11열 3,267,1691,89,1층 C블록11열 12,23.80049369869758,62.12521849576574,2529.0133103028547
1층,C블록,11,4,1층 C블록11열 4,208,1694,89,1층 C블록11열 11,23.86913502676434,62.502576325026276,2544.1367465541225
1층,C블록,11,5,1층 C블록11열 5,148,1695,89,1층 C블록11열 10,23.932949391527377,62.83181975400254,2556.3793219197823
1층,C블록,11,6,1층 C블록11열 6,89,1696,89,1층 C블록11열 9,23.97179235677791,63.0370517051202,2564.2853306421107
1층,C블록,11,7,1층 C블록11열 7,29,1697,89,1층 C블록11열 8,23.98708402217868,63.12519272195657,2568.058205408219
1층,C블록,11,8,1층 C블록11열 8,-29,1697,89,1층 C블록11열 7,23.98708402217868,63.12519272195657,2568.0582054082192
1층,C블록,11,9,1층 C블록11열 9,-89,1696,89,1층 C블록11열 6,23.97179235677791,63.0370517051202,2564.285330642111
1층,C블록,11,10,1층 C블록11열 10,-148,1695,89,1층 C블록11열 5,23.932949391527377,62.83181975400254,2556.3793219197823
1층,C블록,11,11,1층 C블록11열 11,-208,1694,89,1층 C블록11열 4,23.86913502676434,62.502576325026276,2544.1367465541225
1층,C블록,11,12,1층 C블록11열 12,-267,1691,89,1층 C블록11열 3,23.80049369869758,62.12521849576574,2529.0133103028547
1층,C블록,11,13,1층 C블록11열 13,-327,1688,89,1층 C블록11열 2,23.70641665831989,61.621859318627415,2509.6276220757863
1층,C블록,11,14,1층 C블록11열 14,-386,1685,89,1층 C블록11열 1,23.59134229856083,61.014999994471964,2486.861098992112
1층,D블록,11,1,1층 D블록11열 1,-537,1674,89,1층 B블록11열 12,23.223782490927448,59.065587933537984,2414.569950751571
1층,D블록,11,2,1층 D블록11열 2,-590,1669,89,1층 B블록11열 11,23.07063160708922,58.25173928401732,2384.9416428418594
1층,D블록,11,3,1층 D블록11열 3,-642,1664,89,1층 B블록11열 10,22.904874316651746,57.378943223981594,2353.905430293865
1층,D블록,11,4,1층 D블록11열 4,-695,1660,89,1층 B블록11열 9,22.711787768560697,56.389485034175436,2320.274072436205
1층,D블록,11,5,1층 D블록11열 5,-747,1652,89,1층 B블록11열 8,22.537405379060736,55.445324977731865,2286.724059856127
1층,D블록,11,6,1층 D블록11열 6,-800,1645,89,1층 B블록11열 7,22.33563688656762,54.38709172542593,2251.038794658116
1층,D블록,11,7,1층 D블록11열 7,-852,1637,89,1층 B블록11열 6,22.130960007133247,53.309378371902426,2215.3230472304267
1층,D블록,11,8,1층 D블록11열 8,-904,1630,89,1층 B블록11열 5,21.905598132828285,52.1547587025838,2178.9826102919346
1층,D블록,11,9,1층 D블록11열 9,-956,1622,89,1층 B블록11열 4,21.67368906013994,50.967416794345866,2142.644804603239
1층,D블록,11,10,1층 D블록11열 10,-1008,1613,89,1층 B블록11열 3,21.4352633504723,49.74938139525233,2106.647474131498
1층,D블록,11,11,1층 D블록11열 11,-1060,1605,89,1층 B블록11열 2,21.178712908260934,48.475148900853654,2071.322408414375
1층,D블록,11,12,1층 D블록11열 12,-1113,1596,89,1층 B블록11열 1,20.91064221731483,47.153454670668054,2036.519995990754
1층,E블록,11,1,1층 E블록11열 1,-1265,1566,89,1층 A블록11열 11,20.104054461225026,43.261065262665966,1946.801026660012
1층,E블록,11,2,1층 E블록11열 2,-1315,1556,89,1층 A블록11열 10,19.82178712353142,41.95114369121787,1921.4863543193699
1층,E블록,11,3,1층 E블록11열 3,-1368,1544,89,1층 A블록11열 9,19.520320523640248,40.56412044035493,1897.134349361996
1층,E블록,11,4,1층 E블록11열 4,-1421,1531,89,1층 A블록11열 8,19.214499824471737,39.177831196828144,1875.360592811591
1층,E블록,11,5,1층 E블록11열 5,-1471,1519,89,1층 A블록11열 7,18.917775724086738,37.87025375669266,1857.1568557874518
1층,E블록,11,6,1층 E블록11열 6,-1521,1507,89,1층 A블록11열 6,18.61493912461874,36.56966414110316,1841.049948841179
1층,E블록,11,7,1층 E블록11열 7,-1570,1495,89,1층 A블록11열 5,18.313711653499237,35.30666215367331,1827.0870987362098
1층,E블록,11,8,1층 E블록11열 8,-1626,1480,89,1층 A블록11열 4,17.967525017961304,33.88074129286798,1813.0058452712992
1층,E블록,11,9,1층 E블록11열 9,-1675,1466,89,1층 A블록11열 3,17.66217200584249,32.649800207340526,1802.0848478422683
1층,E블록,11,10,1층 E블록11열 10,-1724,1452,89,1층 A블록11열 2,17.352756849227877,31.438350833305083,1792.2759361447982
1층,E블록,11,11,1층 E블록11열 11,-1773,1439,89,1층 A블록11열 1,17.03793603031314,30.253434772548875,1783.4177303805282
1층,A블록,12,1,1층 A블록12열 1,1813,1526,109,1층 E블록12열 12,16.60092529095883,29.632937641430974,1769.3890525175007
1층,A블록,12,2,1층 A블록12열 2,1765,1540,109,1층 E블록12열 11,16.886859546382027,30.710787911708753,1777.0042570654466
1층,A블록,12,3,1층 A블록12열 3,1717,1553,109,1층 E블록12열 10,17.172002455572976,31.80458319492898,1785.3301577861512
1층,A블록,12,4,1층 A블록12열 4,1668,1567,109,1층 E블록12열 9,17.457675206327377,32.938573600158755,1794.8513608066053
1층,A블록,12,5,1층 A블록12열 5,1620,1581,109,1층 E블록12열 8,17.732368603193567,34.061595903268554,1805.3585494622334
1층,A블록,12,6,1층 A블록12열 6,1572,1593,109,1층 E블록12열 7,18.008339289772113,35.1952269245387,1817.1031306701298
1층,A블록,12,7,1층 A블록12열 7,1523,1604,109,1층 E블록12열 6,18.28946875810415,36.36404026098405,1830.627018169178
1층,A블록,12,8,1층 A블록12열 8,1475,1616,109,1층 E블록12열 5,18.55568424956742,37.512372406063434,1845.7350704576922
1층,A블록,12,9,1층 A블록12열 9,1426,1628,109,1층 E블록12열 4,18.82233906538396,38.686522503983305,1863.132686010874
1층,A블록,12,10,1층 A블록12열 10,1378,1640,109,1층 E블록12열 3,19.076102561095478,39.832365157076715,1882.25569302672
1층,A블록,12,11,1층 A블록12열 11,1329,1650,109,1층 E블록12열 2,19.337582709433985,41.009167032680274,1903.7775402060863
1층,A블록,12,12,1층 A블록12열 12,1280,1660,109,1층 E블록12열 1,19.592102929858648,42.17836431502951,1927.4400578237949
1층,B블록,12,1,1층 B블록12열 1,1127,1690,109,1층 D블록12열 12,20.341543861418817,45.74121353142336,2013.2362047833292
1층,B블록,12,2,1층 B블록12열 2,1074,1699,109,1층 D블록12열 11,20.588548498682545,46.940438162102474,2046.1197633332647
1층,B블록,12,3,1층 B블록12열 3,1021,1707,109,1층 D블록12열 10,20.830309349081787,48.120475024165096,2080.0261658061136
1층,B블록,12,4,1층 B블록12열 4,969,1716,109,1층 D블록12열 9,21.049571195575794,49.22337326102802,2113.8532625060698
1층,B블록,12,5,1층 B블록12열 5,916,1724,109,1층 D블록12열 8,21.267912667609984,50.32188788453146,2148.547374577343
1층,B블록,12,6,1층 B블록12열 6,863,1732,109,1층 D블록12열 7,21.47349526199086,51.37128539513089,2183.0387918550973
1층,B블록,12,7,1층 B블록12열 7,810,1739,109,1층 D블록12열 6,21.67232416039822,52.38607780280361,2217.0713828645703
1층,B블록,12,8,1층 B블록12열 8,757,1746,109,1층 D블록12열 5,21.857482486323587,53.34351456892457,2250.225561754005
1층,B블록,12,9,1층 B블록12열 9,704,1754,109,1층 D블록12열 4,22.021280314439487,54.21633558111038,2281.988502766115
1층,B블록,12,10,1층 B블록12열 10,651,1759,109,1층 D블록12열 3,22.19160250105324,55.09057890087841,2312.8429965934074
1층,B블록,12,11,1층 B블록12열 11,597,1764,109,1층 D블록12열 2,22.350714290296878,55.91507544732629,2342.6026313917546
1층,B블록,12,12,1층 B블록12열 12,544,1768,109,1층 D블록12열 1,22.498394481940508,56.67622873886836,2370.146140823343
1층,C블록,12,1,1층 C블록12열 1,390,1780,109,1층 C블록12열 14,22.835154976311838,58.45462729472166,2437.557918209472
1층,C블록,12,2,1층 C블록12열 2,330,1783,109,1층 C블록12열 13,22.942283232050713,59.013619169619126,2458.711771728266
1층,C블록,12,3,1층 C블록12열 3,270,1786,109,1층 C블록12열 12,23.027966546407225,59.46821646438211,2476.4040727736283
1층,C블록,12,4,1층 C블록12열 4,210,1789,109,1층 C블록12열 11,23.09181505106143,59.81590596729942,2490.4686518712874
1층,C블록,12,5,1층 C블록12열 5,150,1790,109,1층 C블록12열 10,23.150192111408984,60.11456161507376,2501.6198764006494
1층,C블록,12,6,1층 C블록12열 6,90,1791,109,1층 C블록12열 9,23.18644900807526,60.30441917725914,2508.9651449420116
1층,C블록,12,7,1층 C블록12열 7,30,1792,109,1층 C블록12열 8,23.200413148149632,60.38442471760201,2512.435491072325
1층,C블록,12,8,1층 C블록12열 8,-30,1792,109,1층 C블록12열 7,23.200413148149632,60.38442471760201,2512.4354910723246
1층,C블록,12,9,1층 C블록12열 9,-90,1791,109,1층 C블록12열 6,23.18644900807526,60.30441917725914,2508.9651449420116
1층,C블록,12,10,1층 C블록12열 10,-150,1790,109,1층 C블록12열 5,23.150192111408984,60.11456161507376,2501.6198764006494
1층,C블록,12,11,1층 C블록12열 11,-210,1789,109,1층 C블록12열 4,23.09181505106143,59.81590596729942,2490.4686518712874
1층,C블록,12,12,1층 C블록12열 12,-270,1786,109,1층 C블록12열 3,23.027966546407225,59.46821646438211,2476.4040727736283
1층,C블록,12,13,1층 C블록12열 13,-330,1783,109,1층 C블록12열 2,22.942283232050713,59.013619169619126,2458.711771728266
1층,C블록,12,14,1층 C블록12열 14,-390,1780,109,1층 C블록12열 1,22.835154976311838,58.45462729472166,2437.5579182094725
1층,D블록,12,1,1층 D블록12열 1,-544,1768,109,1층 B블록12열 12,22.498394481940508,56.67622873886836,2370.146140823343
1층,D블록,12,2,1층 D블록12열 2,-597,1764,109,1층 B블록12열 11,22.350714290296878,55.91507544732629,2342.602631391755
1층,D블록,12,3,1층 D블록12열 3,-651,1759,109,1층 B블록12열 10,22.19160250105324,55.09057890087841,2312.8429965934074
1층,D블록,12,4,1층 D블록12열 4,-704,1754,109,1층 B블록12열 9,22.021280314439487,54.21633558111038,2281.9885027661144
1층,D블록,12,5,1층 D블록12열 5,-757,1746,109,1층 B블록12열 8,21.857482486323587,53.34351456892457,2250.2255617540045
1층,D블록,12,6,1층 D블록12열 6,-810,1739,109,1층 B블록12열 7,21.67232416039822,52.38607780280361,2217.0713828645703
1층,D블록,12,7,1층 D블록12열 7,-863,1732,109,1층 B블록12열 6,21.47349526199086,51.37128539513089,2183.0387918550973
1층,D블록,12,8,1층 D블록12열 8,-916,1724,109,1층 B블록12열 5,21.267912667609984,50.32188788453146,2148.547374577343
1층,D블록,12,9,1층 D블록12열 9,-969,1716,109,1층 B블록12열 4,21.049571195575794,49.22337326102802,2113.8532625060698
1층,D블록,12,10,1층 D블록12열 10,-1021,1707,109,1층 B블록12열 3,20.830309349081787,48.120475024165096,2080.0261658061136
1층,D블록,12,11,1층 D블록12열 11,-1074,1699,109,1층 B블록12열 2,20.588548498682545,46.940438162102474,2046.1197633332647
1층,D블록,12,12,1층 D블록12열 12,-1127,1690,109,1층 B블록12열 1,20.341543861418817,45.74121353142336,2013.236204783329
1층,E블록,12,1,1층 E블록12열 1,-1280,1660,109,1층 A블록12열 12,19.592102929858648,42.17836431502951,1927.440057823795
1층,E블록,12,2,1층 E블록12열 2,-1329,1650,109,1층 A블록12열 11,19.337582709433985,41.009167032680274,1903.7775402060863
1층,E블록,12,3,1층 E블록12열 3,-1378,1640,109,1층 A블록12열 10,19.076102561095478,39.832365157076715,1882.25569302672
1층,E블록,12,4,1층 E블록12열 4,-1426,1628,109,1층 A블록12열 9,18.82233906538396,38.686522503983305,1863.132686010874
1층,E블록,12,5,1층 E블록12열 5,-1475,1616,109,1층 A블록12열 8,18.55568424956742,37.512372406063434,1845.7350704576922
1층,E블록,12,6,1층 E블록12열 6,-1523,1604,109,1층 A블록12열 7,18.28946875810415,36.36404026098405,1830.627018169178
1층,E블록,12,7,1층 E블록12열 7,-1572,1593,109,1층 A블록12열 6,18.008339289772113,35.1952269245387,1817.10313067013
1층,E블록,12,8,1층 E블록12열 8,-1620,1581,109,1층 A블록12열 5,17.732368603193567,34.061595903268554,1805.3585494622337
1층,E블록,12,9,1층 E블록12열 9,-1668,1567,109,1층 A블록12열 4,17.457675206327377,32.938573600158755,1794.851360806605
1층,E블록,12,10,1층 E블록12열 10,-1717,1553,109,1층 A블록12열 3,17.172002455572976,31.80458319492898,1785.3301577861512
1층,E블록,12,11,1층 E블록12열 11,-1765,1540,109,1층 A블록12열 2,16.886859546382027,30.710787911708753,1777.0042570654466
1층,E블록,12,12,1층 E블록12열 12,-1813,1526,109,1층 A블록12열 1,16.60092529095883,29.632937641430974,1769.3890525175007
1층,A블록,13,1,1층 A블록13열 1,1838,1618,130,1층 E블록13열 12,16.266778275506585,29.340487673346225,1759.6541121470345
1층,A블록,13,2,1층 A블록13열 2,1790,1631,130,1층 E블록13열 11,16.535963499116995,30.34217484189716,1766.408301483743
1층,A블록,13,3,1층 A블록13열 3,1742,1645,130,1층 E블록13열 10,16.79989009936286,31.359720511379056,1773.954009998639
1층,A블록,13,4,1층 A블록13열 4,1694,1658,130,1층 E블록13열 9,17.062674158032,32.388221840961506,1782.3344926456537
1층,A블록,13,5,1층 A블록13열 5,1646,1672,130,1층 E블록13열 8,17.31874033208293,33.425842865411454,1791.878607412142
1층,A블록,13,6,1층 A블록13열 6,1594,1685,130,1층 E블록13열 7,17.5973483177528,34.55956299082603,1803.5376007112745
1층,A블록,13,7,1층 A블록13열 7,1546,1697,130,1층 E블록13열 6,17.84980619445637,35.61182581401519,1815.876832999514
1층,A블록,13,8,1층 A블록13열 8,1497,1708,130,1층 E블록13열 5,18.106676431167102,36.692847522870785,1830.145173425444
1층,A블록,13,9,1층 A블록13열 9,1449,1720,130,1층 E블록13열 4,18.348593736362048,37.74720425797031,1846.11466601665
1층,A블록,13,10,1층 A블록13열 10,1400,1732,130,1층 E블록13열 3,18.590184710352656,38.81981152420643,1864.4482761902284
1층,A블록,13,11,1층 A블록13열 11,1347,1743,130,1층 E블록13열 2,18.852035903946373,39.98382948344211,1886.4941429221835
1층,A블록,13,12,1층 A블록13열 12,1298,1753,130,1층 E블록13열 1,19.08793610407228,41.05201614152844,1909.006259160883
1층,B블록,13,1,1층 B블록13열 1,1144,1783,130,1층 D블록13열 12,19.787335310030837,44.322439503038986,1991.066134642499
1층,B블록,13,2,1층 B블록13열 2,1090,1792,130,1층 D블록13열 11,20.021150966972122,45.436770225744226,2022.782736443401
1층,B블록,13,3,1층 B블록13열 3,1035,1802,130,1층 D블록13열 10,20.24380114815025,46.526625782199815,2056.022153652741
1층,B블록,13,4,1층 B블록13열 4,981,1811,130,1층 D블록13열 9,20.45534813272335,47.56892260835085,2089.109229041463
1층,B블록,13,5,1층 B블록13열 5,929,1818,130,1층 D블록13열 8,20.65766733778065,48.55934801856225,2121.095886897942
