seat,예매여부,좌석 오픈 여부,좌석 별 평균 가격,거래까지걸린시간_시간,거래까지걸린시간_등수,좌석 예매율,층,블록,열,넘버,X,Y,Z,대칭점,무대_밑_좌우시야각,무대_위_좌우시야각,무대가_보이는_면적
1층 C블록 22열 2,0,162,,,2015.5246913580247,0.0,1층,C블록,22,2,270,2756,332,1층 C블록 22열 7,17,40,2180
1층 C블록 22열 3,0,162,,,2015.5246913580247,0.0,1층,C블록,22,3,180,2758,332,1층 C블록 22열 6,17,40,2188
1층 C블록 22열 4,0,162,,,2015.5246913580247,0.0,1층,C블록,22,4,90,2760,332,1층 C블록 22열 5,17,40,2193
1층 C블록 22열 5,0,162,,,2015.5246913580247,0.0,1층,C블록,22,5,-90,2760,332,1층 C블록 22열 4,17,40,2193
1층 C블록 22열 6,0,162,,,2015.5246913580247,0.0,1층,C블록,22,6,-180,2758,332,1층 C블록 22열 3,17,40,2188
1층 C블록 22열 7,0,162,,,2015.5246913580247,0.0,1층,C블록,22,7,-270,2756,332,1층 C블록 22열 2,17,40,2180
1층 C블록 22열 8,0,162,,,2015.5246913580247,0.0,1층,C블록,22,8,-362,2752,332,1층 C블록 22열 1,17,39,2168
1층 C블록10열 1,75,136,35266.666666666664,468.24755555555555,823.5376112446417,0.5514705882352942,1층,C블록,10,1,360,1591,69,1층 C블록10열 13,24,63,2553
1층 C블록10열 10,88,146,31840.909090909092,567.7886363636363,804.9986309839401,0.6027397260273972,1층,C블록,10,10,-180,1600,69,1층 C블록10열 4,24,65,2611
1층 C블록10열 11,78,143,35333.333333333336,500.4647435897436,866.0623873801769,0.5454545454545454,1층,C블록,10,11,-240,1598,69,1층 C블록10열 3,24,65,2596
1층 C블록10열 12,99,155,39484.84848484849,654.0594276094276,771.1581016139022,0.6387096774193548,1층,C블록,10,12,-300,1594,69,1층 C블록10열 2,24,64,2577
1층 C블록10열 13,85,137,48894.117647058825,547.0713725490195,718.7672094945926,0.6204379562043796,1층,C블록,10,13,-360,1591,69,1층 C블록10열 1,24,63,2553
1층 C블록10열 2,98,156,41551.02040816326,544.1804421768708,803.1092610328581,0.6282051282051282,1층,C블록,10,2,300,1594,69,1층 C블록10열 12,24,64,2577
1층 C블록10열 3,84,145,33619.04761904762,605.2748015873016,842.6322033826789,0.5793103448275863,1층,C블록,10,3,240,1598,69,1층 C블록10열 11,24,65,2596
1층 C블록10열 4,81,143,37641.97530864197,580.3572016460905,839.714645922337,0.5664335664335665,1층,C블록,10,4,180,1600,69,1층 C블록10열 10,24,65,2611
1층 C블록10열 5,77,143,27870.12987012987,552.0378787878788,895.798350759088,0.5384615384615384,1층,C블록,10,5,120,1601,69,1층 C블록10열 9,24,65,2623
1층 C블록10열 6,99,156,31414.141414141413,650.2562289562289,780.1716610640348,0.6346153846153846,1층,C블록,10,6,60,1602,69,1층 C블록10열 8,24,65,2629
1층 C블록10열 7,82,136,35609.756097560974,484.4445121951219,740.0826998419459,0.6029411764705882,1층,C블록,10,7,0,1603,69,1층 C블록10열 7,24,66,2631
1층 C블록10열 8,97,153,30989.690721649484,605.7068728522337,772.9715754004338,0.6339869281045751,1층,C블록,10,8,-60,1602,69,1층 C블록10열 6,24,65,2629
1층 C블록10열 9,89,145,30842.696629213482,645.6346441947566,771.5697611446261,0.6137931034482759,1층,C블록,10,9,-120,1601,69,1층 C블록10열 5,24,65,2623
1층 C블록11열 1,95,162,29642.105263157893,566.9568421052631,899.6296296296297,0.5864197530864198,1층,C블록,11,1,386,1685,89,1층 C블록11열 14,23,61,2486
1층 C블록11열 10,88,145,26465.909090909092,647.6098484848485,778.1449680408931,0.6068965517241379,1층,C블록,11,10,-148,1695,89,1층 C블록11열 5,23,62,2556
1층 C블록11열 11,95,156,26010.526315789473,644.1184210526316,823.0215408148227,0.6089743589743589,1층,C블록,11,11,-208,1694,89,1층 C블록11열 4,23,62,2544
1층 C블록11열 12,81,135,29765.432098765432,653.5689300411523,756.1328861990759,0.6,1층,C블록,11,12,-267,1691,89,1층 C블록11열 3,23,62,2529
1층 C블록11열 13,104,159,35432.692307692305,602.3145833333333,759.9690311224455,0.6540880503144654,1층,C블록,11,13,-327,1688,89,1층 C블록11열 2,23,61,2509
1층 C블록11열 14,85,144,36564.705882352944,572.3398039215687,801.1515788282841,0.5902777777777778,1층,C블록,11,14,-386,1685,89,1층 C블록11열 1,23,61,2486
1층 C블록11열 2,77,141,25870.12987012987,629.8331168831169,867.5133142300316,0.5460992907801419,1층,C블록,11,2,327,1688,89,1층 C블록11열 13,23,61,2509
1층 C블록11열 3,92,151,29880.434782608696,629.7146739130435,804.102098741978,0.609271523178808,1층,C블록,11,3,267,1691,89,1층 C블록11열 12,23,62,2529
1층 C블록11열 4,87,146,28149.42528735632,627.5706896551725,804.5404643415388,0.5958904109589042,1층,C블록,11,4,208,1694,89,1층 C블록11열 11,23,62,2544
1층 C블록11열 5,92,151,25108.695652173912,620.9028985507247,816.7552962308379,0.609271523178808,1층,C블록,11,5,148,1695,89,1층 C블록11열 10,23,62,2556
1층 C블록11열 6,78,134,28358.97435897436,594.6967948717949,770.4684727670822,0.582089552238806,1층,C블록,11,6,89,1696,89,1층 C블록11열 9,23,63,2564
1층 C블록11열 7,100,160,30940.0,660.5846666666666,810.9997242903027,0.625,1층,C블록,11,7,29,1697,89,1층 C블록11열 8,23,63,2568
1층 C블록11열 8,90,143,36233.333333333336,554.9303703703704,720.1860232153689,0.6293706293706294,1층,C블록,11,8,-29,1697,89,1층 C블록11열 7,23,63,2568
1층 C블록11열 9,94,150,28585.106382978724,618.738475177305,752.7945458504416,0.6266666666666667,1층,C블록,11,9,-89,1696,89,1층 C블록11열 6,23,63,2564
1층 C블록12열 1,81,146,29123.456790123455,663.0432098765432,872.9385452356175,0.5547945205479452,1층,C블록,12,1,390,1780,109,1층 C블록12열 14,22,58,2437
1층 C블록12열 10,91,149,32351.648351648353,702.1298534798535,799.3952648816687,0.610738255033557,1층,C블록,12,10,-150,1790,109,1층 C블록12열 5,23,60,2501
1층 C블록12열 11,83,142,29614.4578313253,734.3548192771084,805.2611489691492,0.5845070422535211,1층,C블록,12,11,-210,1789,109,1층 C블록12열 4,23,59,2490
1층 C블록12열 12,97,154,30340.20618556701,702.8335051546393,783.7142778092442,0.6298701298701299,1층,C블록,12,12,-270,1786,109,1층 C블록12열 3,23,59,2476
1층 C블록12열 13,81,138,34962.96296296296,532.4386831275721,784.7079002512894,0.5869565217391305,1층,C블록,12,13,-330,1783,109,1층 C블록12열 2,22,59,2458
1층 C블록12열 14,99,156,35252.52525252525,552.620707070707,770.8864177372651,0.6346153846153846,1층,C블록,12,14,-390,1780,109,1층 C블록12열 1,22,58,2437
1층 C블록12열 2,91,156,29076.923076923078,612.7289377289377,874.0405018898739,0.5833333333333334,1층,C블록,12,2,330,1783,109,1층 C블록12열 13,22,59,2458
1층 C블록12열 3,86,145,29976.74418604651,698.5548449612403,805.0673278488399,0.593103448275862,1층,C블록,12,3,270,1786,109,1층 C블록12열 12,23,59,2476
1층 C블록12열 4,92,151,33717.391304347824,674.5182971014493,821.8592889792761,0.609271523178808,1층,C블록,12,4,210,1789,109,1층 C블록12열 11,23,59,2490
1층 C블록12열 5,76,141,28815.78947368421,602.0578947368422,868.8991762865757,0.5390070921985816,1층,C블록,12,5,150,1790,109,1층 C블록12열 10,23,60,2501
1층 C블록12열 6,88,157,31215.909090909092,617.8335227272727,911.1506298221378,0.5605095541401274,1층,C블록,12,6,90,1791,109,1층 C블록12열 9,23,60,2508
1층 C블록12열 7,79,142,36405.06329113924,636.1189873417721,856.0814338902545,0.5563380281690141,1층,C블록,12,7,30,1792,109,1층 C블록12열 8,23,60,2512
1층 C블록12열 8,88,152,32659.090909090908,574.6331439393939,859.4704451313304,0.5789473684210527,1층,C블록,12,8,-30,1792,109,1층 C블록12열 7,23,60,2512
1층 C블록12열 9,81,148,26962.962962962964,628.416049382716,895.7928071776548,0.5472972972972973,1층,C블록,12,9,-90,1791,109,1층 C블록12열 6,23,60,2508
1층 C블록13열 1,151,162,0.0,668.4560706401766,231.22222222222223,0.9320987654320988,1층,C블록,13,1,396,1875,130,1층 C블록13열 14,22,56,2393
1층 C블록13열 10,75,141,24160.0,659.3537777777777,889.7102115413959,0.5319148936170213,1층,C블록,13,10,-152,1885,130,1층 C블록13열 5,22,57,2453
1층 C블록13열 11,91,155,19461.53846153846,700.3342490842491,870.4252048899791,0.5870967741935483,1층,C블록,13,11,-213,1884,130,1층 C블록13열 4,22,57,2442
1층 C블록13열 12,78,144,24166.666666666668,672.1856837606837,887.1078773282646,0.5416666666666666,1층,C블록,13,12,-274,1881,130,1층 C블록13열 3,22,56,2429
1층 C블록13열 13,89,152,28707.865168539327,611.3129213483146,865.3132709283763,0.5855263157894737,1층,C블록,13,13,-335,1878,130,1층 C블록13열 2,22,56,2412
1층 C블록13열 14,87,150,36896.55172413793,675.1680076628353,852.0124543567846,0.58,1층,C블록,13,14,-396,1875,130,1층 C블록13열 1,22,56,2393
1층 C블록13열 2,151,162,0.0,668.4560706401766,231.22222222222223,0.9320987654320988,1층,C블록,13,2,335,1878,130,1층 C블록13열 13,22,56,2412
1층 C블록13열 3,151,162,0.0,668.4560706401766,231.22222222222223,0.9320987654320988,1층,C블록,13,3,274,1881,130,1층 C블록13열 12,22,56,2429
1층 C블록13열 4,151,162,0.0,668.4560706401766,231.22222222222223,0.9320987654320988,1층,C블록,13,4,213,1884,130,1층 C블록13열 11,22,57,2442
1층 C블록13열 5,131,156,8435.114503816794,463.97544529262086,382.9489633417365,0.8397435897435898,1층,C블록,13,5,152,1885,130,1층 C블록13열 10,22,57,2453
1층 C블록13열 6,127,158,6267.716535433071,476.3225721784777,463.2034035057247,0.8037974683544303,1층,C블록,13,6,91,1886,130,1층 C블록13열 9,22,57,2459
1층 C블록13열 7,96,143,37697.916666666664,540.44375,671.2302838424481,0.6713286713286714,1층,C블록,13,7,30,1887,130,1층 C블록13열 8,22,57,2463
1층 C블록13열 8,86,146,36534.88372093023,553.1686046511628,821.8729250915807,0.589041095890411,1층,C블록,13,8,-30,1887,130,1층 C블록13열 7,22,57,2463
1층 C블록13열 9,89,152,31157.303370786518,610.8838951310861,855.910832923572,0.5855263157894737,1층,C블록,13,9,-91,1886,130,1층 C블록13열 6,22,57,2459
1층 C블록14열 1,88,144,25409.090909090908,639.8195075757575,771.3751432197217,0.6111111111111112,1층,C블록,14,1,402,1969,151,1층 C블록14열 14,21,53,2354
1층 C블록14열 10,91,148,19384.615384615383,657.1990842490842,795.4091251730139,0.6148648648648649,1층,C블록,14,10,-154,1980,151,1층 C블록14열 5,21,55,2410
1층 C블록14열 11,88,144,16761.363636363636,687.8708333333333,776.2812692560442,0.6111111111111112,1층,C블록,14,11,-216,1979,151,1층 C블록14열 4,21,54,2400
1층 C블록14열 12,89,153,16168.539325842698,704.7219101123595,873.9029254808028,0.5816993464052288,1층,C블록,14,12,-278,1976,151,1층 C블록14열 3,21,54,2388
1층 C블록14열 13,86,142,27616.279069767443,633.7027131782946,778.9143817953584,0.6056338028169014,1층,C블록,14,13,-340,1973,151,1층 C블록14열 2,21,54,2372
1층 C블록14열 14,99,157,27515.151515151516,653.7377104377105,805.3817384528627,0.6305732484076433,1층,C블록,14,14,-402,1969,151,1층 C블록14열 1,21,53,2354
1층 C블록14열 2,103,154,24970.873786407767,628.0802588996763,716.8152001628638,0.6688311688311688,1층,C블록,14,2,340,1973,151,1층 C블록14열 13,21,54,2372
1층 C블록14열 3,87,141,31091.954022988506,643.2936781609196,755.492545247416,0.6170212765957447,1층,C블록,14,3,278,1976,151,1층 C블록14열 12,21,54,2388
1층 C블록14열 4,97,154,26206.18556701031,640.9321305841925,792.1250528996875,0.6298701298701299,1층,C블록,14,4,216,1979,151,1층 C블록14열 11,21,54,2400
1층 C블록14열 5,82,138,21865.853658536584,603.2422764227642,790.034167437931,0.5942028985507246,1층,C블록,14,5,154,1980,151,1층 C블록14열 10,21,55,2410
1층 C블록14열 6,99,156,26949.49494949495,605.9537037037037,784.5927727245862,0.6346153846153846,1층,C블록,14,6,92,1981,151,1층 C블록14열 9,21,55,2416
1층 C블록14열 7,82,140,23048.780487804877,601.6136178861789,795.8002942818683,0.5857142857142857,1층,C블록,14,7,30,1982,151,1층 C블록14열 8,21,55,2419
1층 C블록14열 8,97,156,21845.360824742267,602.2575601374571,801.6620408793848,0.6217948717948718,1층,C블록,14,8,-30,1982,151,1층 C블록14열 7,21,55,2419
1층 C블록14열 9,84,142,26452.380952380954,639.9601190476191,798.3432439727247,0.5915492957746479,1층,C블록,14,9,-92,1981,151,1층 C블록14열 6,21,55,2416
1층 C블록15열 1,100,158,36470.0,611.1501666666667,789.1714636735788,0.6329113924050633,1층,C블록,15,1,406,2089,172,1층 C블록15열 14,20,51,2314
1층 C블록15열 10,83,139,23433.734939759037,836.516064257028,789.22476506239,0.5971223021582733,1층,C블록,15,10,-156,2100,172,1층 C블록15열 5,20,52,2365
1층 C블록15열 11,100,157,24900.0,737.4228333333333,791.5945285582517,0.6369426751592356,1층,C블록,15,11,-219,2099,172,1층 C블록15열 4,20,52,2356
1층 C블록15열 12,81,136,24604.938271604937,702.7251028806584,762.3245664346005,0.5955882352941176,1층,C블록,15,12,-281,2096,172,1층 C블록15열 3,20,51,2345
1층 C블록15열 13,118,157,12457.627118644068,923.7368644067797,583.780293828537,0.7515923566878981,1층,C블록,15,13,-344,2093,172,1층 C블록15열 2,20,51,2330
1층 C블록15열 14,108,151,8175.925925925926,924.998611111111,625.6663213756918,0.7152317880794702,1층,C블록,15,14,-406,2089,172,1층 C블록15열 1,20,51,2314
1층 C블록15열 2,91,144,40681.318681318684,587.5688644688644,730.1733266297825,0.6319444444444444,1층,C블록,15,2,344,2093,172,1층 C블록15열 13,20,51,2330
1층 C블록15열 3,100,151,34950.0,651.4048333333333,710.8412159786775,0.6622516556291391,1층,C블록,15,3,281,2096,172,1층 C블록15열 12,20,51,2345
1층 C블록15열 4,97,147,32185.567010309278,757.5592783505155,711.1025005382306,0.6598639455782312,1층,C블록,15,4,219,2099,172,1층 C블록15열 11,20,52,2356
1층 C블록15열 5,94,152,22106.382978723403,736.5624113475177,816.3707255779303,0.618421052631579,1층,C블록,15,5,156,2100,172,1층 C블록15열 10,20,52,2365
1층 C블록15열 6,81,138,21444.444444444445,782.9925925925925,792.093021433383,0.5869565217391305,1층,C블록,15,6,94,2101,172,1층 C블록15열 9,20,52,2371
1층 C블록15열 7,99,159,24626.262626262625,712.8858585858585,823.9253770374833,0.6226415094339622,1층,C블록,15,7,31,2102,172,1층 C블록15열 8,20,52,2373
1층 C블록15열 8,87,144,24781.6091954023,736.4952107279693,786.2556997249774,0.6041666666666666,1층,C블록,15,8,-31,2102,172,1층 C블록15열 7,20,52,2373
1층 C블록15열 9,98,153,25877.551020408162,766.9892857142856,766.07313702995,0.6405228758169934,1층,C블록,15,9,-94,2101,172,1층 C블록15열 6,20,52,2371
1층 C블록16열 1,88,136,40352.27272727273,671.5759469696969,672.1180556908756,0.6470588235294118,1층,C블록,16,1,420,2184,194,1층 C블록16열 15,20,49,2281
1층 C블록16열 10,93,149,26623.655913978495,659.05770609319,778.4966326891456,0.6241610738255033,1층,C블록,16,10,-120,2196,194,1층 C블록16열 6,20,50,2335
1층 C블록16열 11,96,145,35125.0,721.8920138888889,686.8850002693274,0.6620689655172414,1층,C블록,16,11,-180,2195,194,1층 C블록16열 5,20,50,2329
1층 C블록16열 12,98,148,31234.69387755102,737.4829931972789,699.9125539567145,0.6621621621621622,1층,C블록,16,12,-240,2194,194,1층 C블록16열 4,20,49,2320
1층 C블록16열 13,86,138,31988.372093023256,706.5374031007752,737.1779126368538,0.6231884057971014,1층,C블록,16,13,-300,2190,194,1층 C블록16열 3,20,49,2310
1층 C블록16열 14,98,157,27102.04081632653,670.4505102040815,802.6070262595327,0.6242038216560509,1층,C블록,16,14,-360,2187,194,1층 C블록16열 2,20,49,2296
1층 C블록16열 15,85,143,32176.470588235294,642.5017647058824,786.8204943107067,0.5944055944055944,1층,C블록,16,15,-420,2184,194,1층 C블록16열 1,20,49,2281
1층 C블록16열 2,107,159,35168.22429906542,612.6521806853582,717.5931779736553,0.6729559748427673,1층,C블록,16,2,360,2187,194,1층 C블록16열 14,20,49,2296
1층 C블록16열 3,87,138,28735.632183908045,739.594061302682,707.9664237443925,0.6304347826086957,1층,C블록,16,3,300,2190,194,1층 C블록16열 13,20,49,2310
1층 C블록16열 4,94,149,26861.702127659573,809.1468085106384,762.7925458230181,0.6308724832214765,1층,C블록,16,4,240,2194,194,1층 C블록16열 12,20,49,2320
1층 C블록16열 5,93,144,26301.075268817203,731.5060931899642,715.2709518324236,0.6458333333333334,1층,C블록,16,5,180,2195,194,1층 C블록16열 11,20,50,2329
1층 C블록16열 6,95,148,26515.78947368421,649.578947368421,729.3964924034781,0.6418918918918919,1층,C블록,16,6,120,2196,194,1층 C블록16열 10,20,50,2335
1층 C블록16열 7,93,138,28000.0,734.8924731182796,634.2387072957828,0.6739130434782609,1층,C블록,16,7,60,2197,194,1층 C블록16열 9,20,50,2338
1층 C블록16열 8,107,160,26467.28971962617,683.8981308411215,729.2444676506431,0.66875,1층,C블록,16,8,0,2198,194,1층 C블록16열 8,20,50,2339
1층 C블록16열 9,83,139,26807.22891566265,664.1012048192771,768.9390127741023,0.5971223021582733,1층,C블록,16,9,-60,2197,194,1층 C블록16열 7,20,50,2338
1층 C블록17열 1,94,150,31659.574468085106,714.9829787234042,773.6340861316188,0.6266666666666667,1층,C블록,17,1,420,2279,216,1층 C블록17열 15,19,47,2255
1층 C블록17열 10,89,141,26235.955056179777,746.0874531835206,745.3435273981247,0.6312056737588653,1층,C블록,17,10,-120,2291,216,1층 C블록17열 6,19,48,2305
1층 C블록17열 11,101,156,20762.37623762376,764.4909240924092,768.3953046320713,0.6474358974358975,1층,C블록,17,11,-180,2290,216,1층 C블록17열 5,19,48,2299
1층 C블록17열 12,83,139,18313.253012048193,727.7957831325301,785.0469897412858,0.5971223021582733,1층,C블록,17,12,-240,2289,216,1층 C블록17열 4,19,48,2291
1층 C블록17열 13,94,150,20031.91489361702,773.4510638297871,787.7575587344624,0.6266666666666667,1층,C블록,17,13,-300,2286,216,1층 C블록17열 3,19,47,2281
1층 C블록17열 14,92,150,29913.043478260868,693.8159420289855,794.544111967852,0.6133333333333333,1층,C블록,17,14,-360,2282,216,1층 C블록17열 2,19,47,2269
1층 C블록17열 15,88,151,27670.454545454544,621.4123106060606,847.6000301427713,0.5827814569536424,1층,C블록,17,15,-420,2279,216,1층 C블록17열 1,19,47,2255
1층 C블록17열 2,97,149,31969.072164948455,686.4613402061856,727.9924795304689,0.6510067114093959,1층,C블록,17,2,360,2282,216,1층 C블록17열 14,19,47,2269
1층 C블록17열 3,94,145,31553.191489361703,674.0065602836879,716.9075169719343,0.6482758620689655,1층,C블록,17,3,300,2286,216,1층 C블록17열 13,19,47,2281
1층 C블록17열 4,88,142,31750.0,697.1219696969697,753.12207556565,0.6197183098591549,1층,C블록,17,4,240,2289,216,1층 C블록17열 12,19,48,2291
1층 C블록17열 5,100,157,24900.0,618.2981666666667,792.9674731454264,0.6369426751592356,1층,C블록,17,5,180,2290,216,1층 C블록17열 11,19,48,2299
1층 C블록17열 6,79,134,26050.632911392404,705.9820675105485,765.8544652738931,0.5895522388059702,1층,C블록,17,6,120,2291,216,1층 C블록17열 10,19,48,2305
1층 C블록17열 7,97,153,27144.329896907217,703.7221649484536,775.132937924475,0.6339869281045751,1층,C블록,17,7,60,2292,216,1층 C블록17열 9,19,48,2308
1층 C블록17열 8,95,149,26768.42105263158,755.5005263157896,755.1973535181116,0.6375838926174496,1층,C블록,17,8,0,2293,216,1층 C블록17열 8,19,48,2309
1층 C블록17열 9,95,149,28715.78947368421,725.6808771929825,761.1998148207899,0.6375838926174496,1층,C블록,17,9,-60,2292,216,1층 C블록17열 7,19,48,2308
1층 C블록18열 1,80,139,42737.5,638.915,810.9536082928238,0.5755395683453237,1층,C블록,18,1,420,2374,238,1층 C블록18열 15,18,45,2232
1층 C블록18열 10,88,149,24954.545454545456,681.2467803030303,854.998699759308,0.5906040268456376,1층,C블록,18,10,-120,2386,238,1층 C블록18열 6,19,46,2278
1층 C블록18열 11,84,147,24404.761904761905,675.9968253968253,862.3164988895447,0.5714285714285714,1층,C블록,18,11,-180,2385,238,1층 C블록18열 5,19,46,2272
1층 C블록18열 12,87,151,21448.275862068964,745.195785440613,877.2415489350276,0.5761589403973509,1층,C블록,18,12,-240,2384,238,1층 C블록18열 4,19,46,2265
1층 C블록18열 13,79,140,30000.0,742.8449367088608,843.8270510746287,0.5642857142857143,1층,C블록,18,13,-300,2381,238,1층 C블록18열 3,19,46,2256
1층 C블록18열 14,89,158,21932.584269662922,678.3883895131086,930.6342958791901,0.5632911392405063,1층,C블록,18,14,-360,2377,238,1층 C블록18열 2,19,45,2245
1층 C블록18열 15,79,145,23468.354430379746,683.0421940928269,892.8895046490688,0.5448275862068965,1층,C블록,18,15,-420,2374,238,1층 C블록18열 1,18,45,2232
1층 C블록18열 2,99,159,33646.46464646464,632.5777777777778,828.018887993209,0.6226415094339622,1층,C블록,18,2,360,2377,238,1층 C블록18열 14,19,45,2245
1층 C블록18열 3,82,143,26658.536585365855,647.0221544715447,836.1338556465573,0.5734265734265734,1층,C블록,18,3,300,2381,238,1층 C블록18열 13,19,46,2256
1층 C블록18열 4,85,149,29388.235294117647,630.342156862745,876.5320342759363,0.5704697986577181,1층,C블록,18,4,240,2384,238,1층 C블록18열 12,19,46,2265
1층 C블록18열 5,83,147,22987.951807228917,708.0206827309237,895.6404239925274,0.564625850340136,1층,C블록,18,5,180,2385,238,1층 C블록18열 11,19,46,2272
1층 C블록18열 6,84,147,26369.04761904762,632.5313492063492,867.4387737900471,0.5714285714285714,1층,C블록,18,6,120,2386,238,1층 C블록18열 10,19,46,2278
1층 C블록18열 7,79,139,26987.3417721519,631.3137130801688,835.662150981932,0.5683453237410072,1층,C블록,18,7,60,2387,238,1층 C블록18열 9,19,46,2281
1층 C블록18열 8,100,158,26400.0,722.5841666666668,804.9113816808775,0.6329113924050633,1층,C블록,18,8,0,2388,238,1층 C블록18열 8,19,46,2282
1층 C블록18열 9,81,139,27024.69135802469,672.6222222222223,801.593981011918,0.5827338129496403,1층,C블록,18,9,-60,2387,238,1층 C블록18열 7,19,46,2281
1층 C블록19열 1,86,152,28209.302325581397,684.2751937984495,897.3349457441315,0.5657894736842105,1층,C블록,19,1,420,2469,261,1층 C블록19열 15,18,43,2211
1층 C블록19열 10,83,141,26626.506024096387,791.5347389558233,811.8058987760769,0.5886524822695035,1층,C블록,19,10,-120,2481,261,1층 C블록19열 6,18,44,2253
1층 C블록19열 11,94,154,24989.36170212766,803.3101063829787,821.0368385180936,0.6103896103896104,1층,C블록,19,11,-180,2480,261,1층 C블록19열 5,18,44,2248
1층 C블록19열 12,78,140,21628.20512820513,751.8254273504273,862.5235426658885,0.5571428571428572,1층,C블록,19,12,-240,2479,261,1층 C블록19열 4,18,44,2241
1층 C블록19열 13,89,155,18179.775280898877,836.02265917603,898.642885396559,0.5741935483870968,1층,C블록,19,13,-300,2476,261,1층 C블록19열 3,18,44,2233
1층 C블록19열 14,83,145,18891.566265060243,775.0987951807228,854.9234807182148,0.5724137931034483,1층,C블록,19,14,-360,2472,261,1층 C블록19열 2,18,44,2223
1층 C블록19열 15,83,150,24602.409638554218,681.7724899598394,928.4260078747121,0.5533333333333333,1층,C블록,19,15,-420,2469,261,1층 C블록19열 1,18,43,2211
1층 C블록19열 2,81,146,22320.987654320987,706.7635802469135,878.757730093716,0.5547945205479452,1층,C블록,19,2,360,2472,261,1층 C블록19열 14,18,44,2223
1층 C블록19열 3,89,146,26820.224719101123,798.7338951310861,789.7952552028906,0.6095890410958904,1층,C블록,19,3,300,2476,261,1층 C블록19열 13,18,44,2233
1층 C블록19열 4,83,141,25819.277108433736,765.6174698795181,799.4236783090554,0.5886524822695035,1층,C블록,19,4,240,2479,261,1층 C블록19열 12,18,44,2241
1층 C블록19열 5,97,154,24927.835051546394,736.6331615120274,802.5917878610165,0.6298701298701299,1층,C블록,19,5,180,2480,261,1층 C블록19열 11,18,44,2248
1층 C블록19열 6,72,131,28319.444444444445,706.730787037037,813.356266720174,0.549618320610687,1층,C블록,19,6,120,2481,261,1층 C블록19열 10,18,44,2253
1층 C블록19열 7,98,156,37704.08163265306,699.1375850340137,802.9627960803028,0.6282051282051282,1층,C블록,19,7,60,2482,261,1층 C블록19열 9,18,44,2256
1층 C블록19열 8,90,146,31733.333333333332,718.7203703703703,772.0362187285286,0.6164383561643836,1층,C블록,19,8,0,2483,261,1층 C블록19열 8,18,44,2256
1층 C블록19열 9,88,146,28375.0,704.6189393939394,796.2346775046736,0.6027397260273972,1층,C블록,19,9,-60,2482,261,1층 C블록19열 7,18,44,2256
1층 C블록1열 1,84,159,58404.76190476191,588.6470238095238,1000.5860684609054,0.5283018867924528,1층,C블록,1,1,319,737,-93,1층 C블록1열 12,34,91,3850
1층 C블록1열 10,80,144,69462.5,555.3366666666667,874.7062986772077,0.5555555555555556,1층,C블록,1,10,-203,744,-93,1층 C블록1열 3,34,93,4011
1층 C블록1열 11,96,158,64885.416666666664,529.6810763888889,829.2887947023255,0.6075949367088608,1층,C블록,1,11,-261,740,-93,1층 C블록1열 2,34,92,3940
1층 C블록1열 12,74,144,66054.05405405405,488.879054054054,915.3097402395824,0.5138888888888888,1층,C블록,1,12,-319,737,-93,1층 C블록1열 1,34,91,3850
1층 C블록1열 2,76,150,60421.05263157895,548.07149122807,997.5681978502927,0.5066666666666667,1층,C블록,1,2,261,740,-93,1층 C블록1열 11,34,92,3940
1층 C블록1열 3,66,145,58000.0,485.1618686868687,1039.535671054865,0.45517241379310347,1층,C블록,1,3,203,744,-93,1층 C블록1열 10,34,93,4011
1층 C블록1열 4,77,146,70233.76623376623,420.53138528138527,926.230099338734,0.5273972602739726,1층,C블록,1,4,145,745,-93,1층 C블록1열 9,35,94,4074
1층 C블록1열 5,85,155,68517.64705882352,451.6478431372549,927.4653646963654,0.5483870967741935,1층,C블록,1,5,87,746,-93,1층 C블록1열 8,35,94,4116
1층 C블록1열 6,78,140,70935.89743589744,415.48141025641024,825.2569686503914,0.5571428571428572,1층,C블록,1,6,29,747,-93,1층 C블록1열 7,35,95,4136
1층 C블록1열 7,90,156,68955.55555555556,450.49462962962957,886.0874558288481,0.5769230769230769,1층,C블록,1,7,-29,747,-93,1층 C블록1열 6,35,95,4136
1층 C블록1열 8,87,144,67988.50574712643,557.465325670498,788.9416214623897,0.6041666666666666,1층,C블록,1,8,-87,746,-93,1층 C블록1열 5,35,94,4116
1층 C블록1열 9,83,149,64506.02409638554,546.0246987951807,887.8962322536954,0.5570469798657718,1층,C블록,1,9,-145,745,-93,1층 C블록1열 4,35,94,4074
1층 C블록20열 1,81,139,36049.38271604938,705.5997942386831,796.771284326773,0.5827338129496403,1층,C블록,20,1,420,2564,285,1층 C블록20열 15,17,42,2191
1층 C블록20열 10,85,149,24482.352941176472,754.7594117647059,889.6518145171242,0.5704697986577181,1층,C블록,20,10,-120,2576,285,1층 C블록20열 6,18,43,2230
1층 C블록20열 11,86,147,25337.20930232558,861.184496124031,846.3722126379321,0.5850340136054422,1층,C블록,20,11,-180,2575,285,1층 C블록20열 5,18,43,2226
1층 C블록20열 12,85,149,26647.058823529413,818.7456862745098,873.5611906338402,0.5704697986577181,1층,C블록,20,12,-240,2574,285,1층 C블록20열 4,18,43,2220
1층 C블록20열 13,74,138,26094.594594594593,718.4193693693694,872.9737455870318,0.5362318840579711,1층,C블록,20,13,-300,2571,285,1층 C블록20열 3,18,42,2212
